source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
basingstokegazette.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
mlive.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
beatricedailysun.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
bnd.com,usa,right-center,high,,website,medium traffic,high credibility
bellevuereporter.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
benzinga.com,usa,least biased,high,,website,high traffic,high credibility
bestlifeonline.com,usa,least biased,mixed,,website,high traffic,high credibility
bettergov.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
bicesteradvertiser.net,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
bigcountry995.com,usa,least biased,high,,radio station,minimal traffic,high credibility
bigforkeagle.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
biggleswadetoday.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
bignewsnetwork.com,united arab emirates,least biased,mixed,,website,medium traffic,medium credibility
bigthink.com,usa,least biased,high,,website,high traffic,high credibility
big-village.com,united states,least biased,mixed,,organization/foundation,minimal traffic,high credibility
billtrack50.com,usa,least biased,mixed,,website,medium traffic,high credibility
sunherald.com,usa,least biased,high,,newspaper,medium traffic,high credibility
pressconnects.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
biography.com,usa,least biased,high,mostly free,website,high traffic,high credibility
biopharmadive.com,usa,least biased,high,,website,minimal traffic,high credibility
birminghamworld.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
bishopsstortfordindependent.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
bismarcktribune.com,usa,least biased,high,,newspaper,medium traffic,high credibility
blackpoolgazette.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
blastingnews.com,united kingdom,least biased,high,,website,medium traffic,high credibility
bleepingcomputer.com,usa,least biased,high,,website,high traffic,high credibility
blueprint.ng,nigeria,least biased,mixed,,newspaper,medium traffic,high credibility
intellinews.com,germany,least biased,mixed,,website,medium traffic,high credibility
bnnbreaking.com,hong kong,least biased,mixed,,website,medium traffic,medium credibility
bnonews.com,netherlands,least biased,high,,news agency,medium traffic,high credibility
bocapost.com,united states,least biased,high,,website,minimal traffic,high credibility
bonnercountydailybee.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
bonnersferryherald.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
boonvilledailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bordercountiesadvertizer.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
borderreport.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
bordertelegraph.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
borehamwoodtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bothell-reporter.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
bournemouthecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
bozemandailychronicle.com,usa,left-center,high,,newspaper,minimal traffic,high credibility
bradenton.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
bracknellnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
thetelegraphandargus.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
braintreeandwithamtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
brentwoodlive.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bridgemi.com,usa,left-center,high,,organization/foundation,medium traffic,high credibility
bridgwatermercury.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bridportnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bringmethenews.com,usa,least biased,high,,website,medium traffic,high credibility
heraldcourier.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bristolworld.com,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
bromsgroveadvertiser.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
theeagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
bucksfreepress.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
bucksherald.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
thebuffalocentertribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
buffalonews.com,usa,least biased,high,,newspaper,high traffic,high credibility
bullshido.net,usa,least biased,high,,website,minimal traffic,high credibility
shawlocal.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
burnettcountysentinel.com,united states,least biased,mixed,,newspaper,minimal traffic,high credibility
burnhamandhighbridgeweeklynews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
burnleyexpress.net,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
burytimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
business2community.com,malta,least biased,mixed,mostly free,website,medium traffic,medium credibility
butlercountytimesgazette.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
butlercountytribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
buxtonadvertiser.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
c-span.org,usa,least biased (0.0),very high (0.0),,tv station,high traffic,high credibility
northwestgeorgianews.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
calmarcourier.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
somdnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cambridgeindependent.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
cpac.ca,canada,least biased,high,,tv station,minimal traffic,high credibility
canoncitydailyrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
capecodtimes.com,usa,least biased,high,,newspaper,medium traffic,high credibility
capecoralbreeze.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
capitolfax.com,usa,least biased,high,,website,minimal traffic,high credibility
caranddriver.com,united states,least biased,high,,magazine,high traffic,high credibility
carrollconews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
trib.com,usa,least biased,high,,newspaper,medium traffic,high credibility
castanet.net,canada,least biased,high,,website,high traffic,high credibility
tucsonlocalmedia.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cbslocal.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
cdt.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
opensecrets.org,usa,least biased,very high,,organization/foundation,medium traffic,high credibility
csis.org,usa,least biased,very high,,organization/foundation,medium traffic,high credibility
centralfifetimes.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
myeasternshoremd.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility
cfo.com,usa,least biased,high,,website,minimal traffic,high credibility
chandlernews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
postregister.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
channelnewsasia.com,singapore,least biased,high,limited freedom,tv station,high traffic,high credibility
chardandilminsternews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
charitynavigator.org,usa,least biased,high,,organization/foundation,medium traffic,high credibility
chathamhouse.org,united kingdom,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
timesfreepress.com,usa,least biased,high,,newspaper,medium traffic,high credibility
thelandmark.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chelmsfordweeklynews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
tribuneledgernews.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
chesterstandard.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
sussexexpress.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
chicoer.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chillicothenews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chinookobserver.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
chippewa.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
csmonitor.com,usa,least biased,high,,magazine,medium traffic,high credibility
cincinnati.com,usa,least biased,high,,newspaper,high traffic,high credibility
ciodive.com,usa,least biased,high,,website,minimal traffic,high credibility
ciruli.com,united states,least biased,mixed,,organization/foundation,minimal traffic,high credibility
citynews.ca,canada,least biased,high,,radio station,high traffic,high credibility
clactonandfrintongazette.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
clarindaherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
vp-mi.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
cctimesdemocrat.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
claytodayonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
claytonrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
clreporter.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
clydebankpost.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
columbiabasinherald.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
thepostandmail.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
columbustelegram.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cnet.com,usa,least biased,high,,website,high traffic,high credibility
cdapress.com,usa,least biased,high,,newspaper,medium traffic,high credibility
ced.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
cpj.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
communityimpact.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
comparitech.com,united kingdom,least biased,high,,website,medium traffic,high credibility
independenttribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
concordmonitor.com,usa,least biased,high,,newspaper,medium traffic,high credibility
congress.gov,usa,least biased,very high,,organization/foundation,high traffic,high credibility
cbo.gov,usa,least biased,very high,,organization/foundation (government),medium traffic,high credibility
constitutioncenter.org,usa,least biased,high,,organization/foundation,medium traffic,high credibility
crf-usa.org,united states,least biased,high,,organization/foundation,medium traffic,high credibility
constructiondive.com,usa,least biased,high,,website,minimal traffic,high credibility
consumerreports.org,usa,least biased,high,,magazine,high traffic,high credibility
cookcountynews-herald.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cookpolitical.com,usa,least biased,high,,website,medium traffic,high credibility
cotswoldjournal.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
corriere.it,italy,least biased,high,,newspaper,high traffic,high credibility
cdc.gov,usa,least biased,high,,organization/foundation,high traffic,high credibility
gazettetimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
cfr.org,usa,least biased,high,,organization/foundation,medium traffic,high credibility
countable.com,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
countryliving.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility
courthousenews.com,usa,least biased,high,,website,medium traffic,high credibility
courtlistener.com,united states,least biased,high,,organization/foundation,high traffic,high credibility
courttv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
covidtracking.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
covingtonreporter.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
cp24.com,canada,least biased,high,,tv station,high traffic,high credibility
craigdailypress.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
crainscleveland.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
crainsdetroit.com,usa,least biased,high,,magazine,medium traffic,high credibility
cravenherald.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
crestonnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
crookstontimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cruxnow.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
cstoredive.com,usa,least biased,high,,website,minimal traffic,high credibility
ctvnews.ca,canada,least biased,high,,tv station,high traffic,high credibility
starexponent.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
insidenova.com,united states,least biased,high,,website,minimal traffic,high credibility
newsandstar.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
cumnockchronicle.com,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
customerexperiencedive.com,usa,least biased,high,,website,minimal traffic,high credibility
cyberscoop.com,united states,least biased,high,,website,medium traffic,high credibility
cybersecuritydive.com,usa,least biased,high,,website,minimal traffic,high credibility
dccircuitbreaker.org,usa,least biased,high,,website,minimal traffic,high credibility
law.com,usa,least biased,high,,website,medium traffic,high credibility
dailycamera.com,usa,least biased,high,,newspaper,medium traffic,high credibility
messengernews.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dailyinterlake.com,usa,least biased,high,,newspaper,medium traffic,high credibility
daily-journal.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
dailyjournalonline.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
dailymaverick.co.za,south africa,least biased,mixed,,website,high traffic,high credibility
dailynk.com,south korea,least biased,mixed,,website,medium traffic,medium credibility
nonpareilonline.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
dailypost.ng,nigeria,least biased,mixed,,newspaper,high traffic,high credibility
dailyrecord.com,usa,least biased,high,,newspaper,medium traffic,high credibility
danjonescenter.org,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
godanriver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
darientimes.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
dataorbital.com,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
daventryexpress.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
daytondailynews.com,usa,least biased,high,,newspaper,medium traffic,high credibility
defence-blog.com,usa,least biased,mixed,,website,medium traffic,high credibility
defensenews.com,usa,least biased,high,,website,medium traffic,high credibility
defenseone.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
defensescoop.com,usa,least biased,high,,website,minimal traffic,high credibility
defenseworld.net,usa,least biased,mixed,,website,minimal traffic,high credibility
hngnews.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
shawlocal.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
delcotimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
delawarelive.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
dbrnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dentonrc.com,usa,least biased,high,,newspaper,medium traffic,high credibility
derbyshiretimes.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
desmoinesregister.com,usa,least biased,high,,newspaper,high traffic,high credibility
standaard.be,belgium,least biased,high,mostly free,newspaper,high traffic,high credibility
detik.com,indonesia,least biased,mixed,,website,high traffic,high credibility
deutschlandfunk.de,germany,least biased,high,,radio station,high traffic,high credibility
dewsburyreporter.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
dhmresearch.com,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
differencebetween.net,usa,least biased,high,,website,medium traffic,high credibility
digi24.ro,romania,least biased,high,,tv station,high traffic,high credibility
digitaljournal.com,canada,least biased,high,,website,medium traffic,high credibility
digitalresearch.com,united states,least biased,mixed,,organization/foundation,minimal traffic,medium credibility
digitimes.com,taiwan,least biased,high,,website,medium traffic,high credibility
qconline.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
dissexpress.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
dividedwefall.org,united states,least biased,mixed,,organization/foundation,medium traffic,high credibility
dmagazine.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
doctorswithoutborders.org,france,least biased,high,,organization/foundation,medium traffic,high credibility
dodgeglobe.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
doncasterfreepress.co.uk,united kingdom,least biased,high,,newspaper,mediumtraffic,high credibility
dorsetecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
dothaneagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
kentonline.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
dpa.com,germany,least biased,high,,news agency,high traffic,high credibility
ladowntownnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dudleynews.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
duluthnewstribune.com,usa,least biased,high,,newspaper,medium traffic,high credibility
dumbartonreporter.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
dunfermlinepress.com,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
theeaglegroveeagle.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
eagletribune.com,usa,least biased,high,,newspaper,medium traffic,high credibility
ealingtimes.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
yourobserver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
edp24.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
eastidahonews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
eastlothiancourier.com,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
guardian-series.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
eastvalleytribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
eatthis.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility
leadertelegram.com,usa,least biased,high,,newspaper,medium traffic,high credibility
echeloninsights.com,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
eiu.com,united kingdom,least biased,high,,website,minimal traffic,high credibility
scotsman.com,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
edscoop.com,usa,least biased,high,,website,minimal traffic,high credibility
shawlocal.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
eldoranewspapers.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
elkodaily.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
stargazette.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
elnuevodia.com,puerto rico/usa,least biased,high,,newspaper,high traffic,high credibility
elon.edu,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
elwayresearch.com,united states,least biased,mixed,,organization/foundation,minimal traffic,high credibility
emersoncollegepolling.com,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
enfieldindependent.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
yoursun.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
eonline.com,united states,least biased,mixed,,tv/website,high traffic,high credibility
impartialreporter.com,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
courierherald.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
comcast.net,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
eppingforestguardian.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
goerie.com,usa,least biased,high,,newspaper,medium traffic,high credibility
err.ee,estonia,least biased,high,,tv station,high traffic,high credibility
dailypress.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
esgdive.com,usa,least biased,high,,website,minimal traffic,high credibility
echo-news.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
eurasiagroup.net,usa,left-center,high,,organization/foundation,minimal traffic,high credibility
times-standard.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
eurotopics.net,germany,least biased,mixed,,website,medium traffic,high credibility
everycrsreport.com,usa,least biased,very high,,organization/foundation,minimal traffic,high credibility
eveshamjournal.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
facilitiesdive.com,usa,least biased,high,,website,minimal traffic,high credibility
factcheck.org,usa,least biased,very high,,organization/foundation,high traffic,high credibility
factchecker.in,india,least biased,high,,organization/foundation,minimal traffic,high credibility
factcheckni.org,ireland,least biased,high,,website,minimal traffic,high credibility
factly.in,india,least biased,mixed,,website,medium traffic,medium credibility
fdu.edu,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
fairmontsentinel.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
falkirkherald.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
falmouthpacket.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
fashiondive.com,usa,least biased,high,,website,minimal traffic,high credibility
fayobserver.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
federalnewsnetwork.com,usa,least biased,high,,radio station,medium traffic,high credibility
federaltimes.com,usa,least biased,high,,website/magazine,minimal traffic,high credibility
federalwaymirror.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
fedscoop.com,united states,least biased,high,,website,minimal traffic,high credibility
fenlandcitizen.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
fifetoday.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
ft.com,united kingdom,least biased,high,,newspaper,high traffic,high credibility
finextra.com,united kingdom,least biased,high,,website,medium traffic,high credibility
fltimes.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
firstcoastnews.com,usa,least biased,high,,tv station,medium traffic,high credibility
firstdraftnews.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
sentinelandenterprise.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
floridapolitics.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
jacksonville.com,usa,left-center,high,,newspaper,medium traffic,high credibility
forbes.com,usa,least biased,mixed,,magzine,high traffic,high credibility
foreignaffairs.com,usa,least biased,high,,journal,medium traffic,high credibility
foreignpolicy.com,usa,least biased,high,,magazine,high traffic,high credibility
messengernews.net,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ftleavenworthlamp.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
